litter_id,litter_id_link,whelp_date,litter_registration,country_of_birth,sire_name,dam_name,breeders,birth_year
10666,Litter_Detail?LitterID=10666,"Dec 31, 2000",FW417338KY,Canada,BLUES DE QUALITY,BIRKA VON IZMAR,PITZINI (QC),2000
18813,Litter_Detail?LitterID=18813,"Dec 31, 2000",,Belgium,VOLVO VON BERNERLIEBE,VELICIA VON BERNERLIEBE,COULIER,2000
18814,Litter_Detail?LitterID=18814,"Dec 31, 2000",,Belgium,YAMAHA VON BERNERLIEBE,XIBELLE VON BERNERLIEBE,COULIER,2000
26627,Litter_Detail?LitterID=26627,"Dec 31, 2000",,Denmark,JERICHO AV MILKCREEK,SENNETTA'S SUSSIE,RAMSING (),2000
34093,Litter_Detail?LitterID=34093,"Dec 31, 2000",WR018692,USA,EUR-AM'S HANSELMANN,EUR-AM'S KARENINA,ADAIR (TN),2000
43812,Litter_Detail?LitterID=43812,"Dec 31, 2000",,Netherlands,IWAN,ZOË,VAN ESSEN,2000
48931,Litter_Detail?LitterID=48931,"Dec 31, 2000",,Netherlands,MAX V EGGELBOLTS STAM,BOBO,VAN OMME (),2000
60020,Litter_Detail?LitterID=60020,"Dec 30, 2000",,Netherlands,ERIC'S GOBBEL FROM THE BARKING BUNCH,FARAH DIBAH FROM DAMAJA'S FRIENDS,,2000
20828,Litter_Detail?LitterID=20828,"Dec 30, 2000",,France,VIRGIL DU BOIS BERNOIS,NIKITA DU DOMAINE DE LA BODEGA,UNKNOWN (),2000
11475,Litter_Detail?LitterID=11475,"Dec 29, 2000",,New Zealand,MERLINS MAGIC OF ESTCARP,JAMAKIS INCA COYA,TATE (),2000
9169,Litter_Detail?LitterID=9169,"Dec 29, 2000",,Japan,AMZI GLARUS VOM RUETZELEN,HYGEIA OF Y.N. CENTURY JP,AKO,2000
10323,Litter_Detail?LitterID=10323,"Dec 29, 2000",GA415369KY,Canada,URIEL V KOPFREIN,BLOEMCO'S MISCHIEF,NAP (ON),2000
5293,Litter_Detail?LitterID=5293,"Dec 29, 2000",FS376099KY,Canada,DALLYBECK'S ROLLING STONE,ANDERLEA'S EMERALD SKYE,BIRSE (BC),2000
7168,Litter_Detail?LitterID=7168,"Dec 29, 2000",,Belgium,LANZO V WITTEKINDSLAND,YENI VAN 'T STOKERYBOS,DELRUE-VANDEWALLE (),2000
6106,Litter_Detail?LitterID=6106,"Dec 28, 2000",,,NOT IN BERNER-GARDE DATABASE,NOT IN BERNER-GARDE DATABASE,UNKNOWN (),2000
14642,Litter_Detail?LitterID=14642,"Dec 28, 2000",,United Kingdom,RIDGEWATER SKYCHIEF OF GLANZBERG,SITZENDORF ENCHANTRESS OF JACANNE,PAUL,2000
24777,Litter_Detail?LitterID=24777,"Dec 28, 2000",,France,MERINGUE,OSTINE DE LA COTE ST ROC,HARTER (),2000
29542,Litter_Detail?LitterID=29542,"Dec 28, 2000",,France,ROCKY,JAINA DU BAKATAR,COLIN (),2000
35397,Litter_Detail?LitterID=35397,"Dec 28, 2000",,United Kingdom,ELNSIDE FEARLESS,ANNA OF MARGANESH,MCLEAN (),2000
34068,Litter_Detail?LitterID=34068,"Dec 28, 2000",WR010857,USA,KAMERIDGE'S SOLID GOLD,ANABERN'S BONNY BRITTA,DOBBECK (IL),2000
35398,Litter_Detail?LitterID=35398,"Dec 27, 2000",,United Kingdom,GLANZBERG FERDINAND OF SCOBERN,MARGAND KIOWA PRINCESS OF VALDARA,SKEDD (),2000
54896,Litter_Detail?LitterID=54896,"Dec 27, 2000",,Switzerland,KAI V SCHEIMATTHOF,JERTHA VD FRITZENFLUH,,2000
48930,Litter_Detail?LitterID=48930,"Dec 27, 2000",,Netherlands,MAX V EGGELBOLTS STAM,SANDY VD HOGE VELUWE,VAN OMME (),2000
10960,Litter_Detail?LitterID=10960,"Dec 27, 2000",,Italy,BYRON V OBWALDNERHOF,LUCREZIA VD HELVETIERN AM ERBACH,UNKNOWN (),2000
14659,Litter_Detail?LitterID=14659,"Dec 26, 2000",182899,Denmark,AMORDORO'S VICTORORRY,VON-PEDERSEN'S SONGI,PEDERSEN,2000
28064,Litter_Detail?LitterID=28064,"Dec 26, 2000",,Germany,CHRIS VD WILDENHAYN,DUNJA V COLMBERG WÄLDCHEN,JUNGMICHEL,2000
53144,Litter_Detail?LitterID=53144,"Dec 26, 2000",,Netherlands,URAL VAN DE SAMAIKA,NOUSKA VD NEWGOLBERHOEVE,BOUWMAN,2000
34224,Litter_Detail?LitterID=34224,"Dec 26, 2000",HUNGARY,Hungary,THELENAI ORZO CEZAR,HARANGZUGI BARBI,ANIKO (),2000
34259,Litter_Detail?LitterID=34259,"Dec 25, 2000",WR028263,USA,MEADOW WOOD ZAC V KASABLANCA,HOPE'S SMURFFET,ADAMS (KY) & STEINHEIMER (KY),2000
34071,Litter_Detail?LitterID=34071,"Dec 25, 2000",WR012423,USA,SEAVARIDGE'S SARGENT,KADOO KUJA,MCFARLAND (PA),2000
33215,Litter_Detail?LitterID=33215,"Dec 25, 2000",WR007145,USA,SUNSHINES BOUNTIFUL HARVEST,ROGEL'S GRAND PRIX DE WYEMEDE,CRAWFORD (MD) & CRAWFORD (MD),2000
10738,Litter_Detail?LitterID=10738,"Dec 25, 2000",EE268951KY,Canada,STABO'S SULTAN LANLIX,CADOU DE CONSTELATION,LAVIOLETTE,2000
9165,Litter_Detail?LitterID=9165,"Dec 25, 2000",WR009693,USA,MIRKO DE LA VALLEE DE L'EUROPE,BAY PATH'S QUINTESSENCE,PINKOWSKI (NY) & PINKOWSKI (NY),2000
6551,Litter_Detail?LitterID=6551,"Dec 25, 2000",WR010814,USA,NOT IN BERNER-GARDE DATABASE,NOT IN BERNER-GARDE DATABASE,UNKNOWN (),2000
10737,Litter_Detail?LitterID=10737,"Dec 24, 2000",EC240797KY,Canada,STABO'S SULTAN LANLIX,BICHE DE CONSTELATION,LAVIOLETTE,2000
13867,Litter_Detail?LitterID=13867,"Dec 24, 2000",WR009662,USA,HOPE'S TIMBER V JAMARS,KASABLANCA'S SIERRA SUNRISE,GILLIAM (VA),2000
18810,Litter_Detail?LitterID=18810,"Dec 24, 2000",,Belgium,UBALOU,URANNIE,BAGUET,2000
18811,Litter_Detail?LitterID=18811,"Dec 24, 2000",,Belgium,VOLVO VON BERNERLIEBE,XANA VON SABWYJAMER,MERGAERT,2000
33251,Litter_Detail?LitterID=33251,"Dec 24, 2000",WR013067,USA,DE-LI'S SEASON PREMIER,DOGWOODS JEWEL AT BLACKROCK,COX (PA) & COX (PA) & MILLS (MD),2000
32900,Litter_Detail?LitterID=32900,"Dec 23, 2000",WR010281,USA,HONEY MIX BRAVO,BLACKCORAL A LADY GO DIVER,CANDELARIA (ID),2000
28748,Litter_Detail?LitterID=28748,"Dec 23, 2000",,United Kingdom,RIDGEWATER SKYCHIEF OF GLANZBERG,KYLEBURN NIGHT JASMINE,BURROWES (),2000
21258,Litter_Detail?LitterID=21258,"Dec 23, 2000",,France,NADIR DE L'HARNOIS BLANC,MIMIE DU PIC DE CAYLOU,UNKNOWN (),2000
21504,Litter_Detail?LitterID=21504,"Dec 23, 2000",,Switzerland,PASCHA V VEIT,GHANA V RÜSCHBODE,BURI (),2000
16017,Litter_Detail?LitterID=16017,"Dec 23, 2000",,Sweden,DOREMIS AJAX BASCO,DOREMIS XTRA SPECIAL A LADY,KARLSSON,2000
